,id,idade,sexo,anos_estudo,cor/raca,salario,estado_civil,regiao
273,11014003101.0,36,mulher,8.0,Preta,,0.0,norte
274,11014003102.0,23,mulher,5.0,Parda,5353.0,0.0,norte
275,11014003103.0,27,mulher,5.0,Parda,,0.0,norte
276,11014003104.0,22,mulher,8.0,Parda,1693.199951171875,0.0,norte
277,11014004101.0,47,homem,15.0,Parda,16380.0,1.0,norte
278,11014004102.0,40,mulher,12.0,Branca,21420.0,1.0,norte
279,11014005101.0,28,homem,8.0,Parda,14176.0,1.0,norte
280,11014005102.0,26,mulher,5.0,Parda,,1.0,norte
281,11014007101.0,33,homem,5.0,Parda,,1.0,norte
282,11014007102.0,30,mulher,5.0,Parda,1939.2000732421875,1.0,norte
283,11014008101.0,40,homem,11.0,Branca,24240.0,1.0,norte
284,11014008102.0,38,mulher,5.0,Branca,757.5,1.0,norte
285,11014010101.0,33,homem,11.0,Parda,27342.0,1.0,norte
286,11014010102.0,32,mulher,11.0,Branca,660.0,1.0,norte
287,11014011101.0,46,mulher,11.0,Parda,17640.0,1.0,norte
288,11014011102.0,45,homem,15.0,Preta,16572.0,1.0,norte
289,11014011103.0,20,mulher,12.0,Preta,,0.0,norte
290,11014012101.0,58,mulher,5.0,Parda,,0.0,norte
291,11014013101.0,30,homem,8.0,Parda,5029.7998046875,0.0,norte
292,11014014101.0,46,mulher,5.0,Parda,2462.4000244140625,1.0,norte
293,11014014102.0,31,homem,5.0,Parda,2906.0,1.0,norte
294,11014016101.0,45,homem,12.0,Parda,8904.0,1.0,norte
295,11014016102.0,43,mulher,8.0,Parda,,1.0,norte
296,11014017101.0,27,homem,11.0,Preta,46176.0,1.0,norte
297,11014017102.0,27,mulher,9.0,Preta,,1.0,norte
298,11014018101.0,46,homem,11.0,Parda,12600.0,1.0,norte
299,11014018102.0,46,mulher,15.0,Parda,37440.0,1.0,norte
300,11014019101.0,34,homem,5.0,Parda,12928.0,1.0,norte
301,11014019102.0,40,mulher,5.0,Branca,4848.0,1.0,norte
302,11014020101.0,39,homem,5.0,Parda,13860.0,1.0,norte
303,11014020102.0,30,mulher,5.0,Parda,4865.5,1.0,norte
304,11014021101.0,42,homem,10.0,Parda,24960.0,1.0,norte
305,11014021102.0,35,mulher,5.0,Parda,630.0,1.0,norte
306,11014022102.0,25,homem,8.0,Branca,,0.0,norte
307,11014023101.0,32,homem,6.0,Parda,2625.0,1.0,norte
308,11014023102.0,26,mulher,8.0,Preta,419.1499938964844,1.0,norte
309,11014024102.0,32,homem,11.0,Preta,10080.0,0.0,norte
310,11014025101.0,21,homem,8.0,Parda,9600.0,0.0,norte
311,11014026101.0,29,homem,11.0,Branca,10200.0,1.0,norte
312,11014026102.0,29,mulher,11.0,Branca,,1.0,norte
313,11014027101.0,40,homem,11.0,Branca,14400.0,0.0,norte
314,11014028101.0,23,homem,15.0,Branca,7200.0,0.0,norte
315,11015901101.0,41,homem,11.0,Branca,38400.0,1.0,norte
316,11015901102.0,34,mulher,10.0,Branca,,1.0,norte
317,11015903101.0,42,homem,15.0,Branca,103950.0,1.0,norte
318,11015903102.0,28,mulher,11.0,Parda,,1.0,norte
319,11015904101.0,44,homem,5.0,Branca,95040.0,1.0,norte
320,11015904102.0,41,mulher,11.0,Branca,3180.0,1.0,norte
321,11015905101.0,47,homem,15.0,Branca,46512.0,1.0,norte
322,11015905102.0,42,mulher,11.0,Branca,,1.0,norte
323,11015906102.0,50,mulher,15.0,Branca,,0.0,norte
324,11015907101.0,41,homem,15.0,Parda,38784.0,1.0,norte
325,11015907102.0,29,mulher,8.0,Parda,3600.0,1.0,norte
326,11015907104.0,33,mulher,5.0,nan,300.0,0.0,norte
327,11015908102.0,30,homem,11.0,Parda,,0.0,norte
328,11015909101.0,33,homem,12.0,Branca,9504.0,1.0,norte
329,11015909102.0,30,mulher,12.0,Parda,,1.0,norte
330,11015910101.0,58,mulher,12.0,Parda,,0.0,norte
331,11015910102.0,25,mulher,15.0,Preta,14688.0,0.0,norte
332,11015910103.0,22,homem,15.0,Preta,14688.0,0.0,norte
333,11015911101.0,49,homem,15.0,Branca,23760.0,1.0,norte
334,11015911102.0,50,mulher,5.0,Branca,52386.0,1.0,norte
335,11015913101.0,44,homem,11.0,Parda,7200.0,1.0,norte
336,11015913102.0,45,mulher,11.0,Parda,4830.599609375,1.0,norte
337,11016701101.0,28,homem,10.0,Preta,7560.0,0.0,norte
338,11016702101.0,26,mulher,11.0,Parda,27600.0,1.0,norte
339,11016702102.0,26,homem,11.0,Parda,11500.0,1.0,norte
340,11016703101.0,37,mulher,15.0,Parda,0.0,0.0,norte
341,11016704101.0,35,homem,11.0,Parda,117600.0,1.0,norte
342,11016704102.0,34,mulher,11.0,Parda,16888.0,1.0,norte
343,11016705101.0,42,homem,15.0,Preta,15912.0,1.0,norte
344,11016705102.0,40,mulher,15.0,Branca,15912.0,1.0,norte
345,11016706102.0,22,mulher,10.0,Preta,2550.0,0.0,norte
346,11016707101.0,39,mulher,13.0,Parda,42595.203125,0.0,norte
347,11016707102.0,21,mulher,11.0,Parda,3000.0,0.0,norte
348,11016707105.0,37,mulher,13.0,Parda,,0.0,norte
349,11016708101.0,43,homem,11.0,Parda,9000.0,1.0,norte
350,11016708102.0,35,mulher,11.0,Branca,750.0,1.0,norte
351,11016709101.0,43,homem,11.0,Branca,16560.0,1.0,norte
352,11016709102.0,33,mulher,11.0,Indigena,8400.0,1.0,norte
353,11016710101.0,32,mulher,11.0,Preta,13464.0,1.0,norte
354,11016710102.0,40,homem,6.0,Parda,7760.16015625,1.0,norte
355,11016711101.0,29,homem,9.0,Parda,9696.0,1.0,norte
356,11016711102.0,30,mulher,6.0,Parda,1804.199951171875,1.0,norte
357,11016713101.0,42,homem,10.0,Parda,16810.439453125,1.0,norte
358,11016713102.0,35,mulher,14.0,Branca,5500.0,1.0,norte
359,11017501101.0,28,homem,11.0,Parda,19980.0,1.0,norte
360,11017501102.0,24,mulher,5.0,Parda,13800.0,1.0,norte
361,11017502102.0,41,mulher,11.0,Parda,41400.0,0.0,norte
362,11017503101.0,46,homem,15.0,Preta,24398.3984375,1.0,norte
363,11017503102.0,44,mulher,15.0,Branca,26504.3984375,1.0,norte
364,11017504101.0,48,homem,8.0,Branca,63600.0,1.0,norte
365,11017504102.0,42,mulher,11.0,Branca,12006.0,1.0,norte
366,11017505101.0,49,homem,7.0,Branca,-1.0,1.0,norte
367,11017505102.0,42,mulher,7.0,Branca,,1.0,norte
368,11017505103.0,24,homem,11.0,Branca,9240.0,0.0,norte
369,11017506101.0,42,homem,5.0,Parda,9858.0,1.0,norte
370,11017506102.0,39,mulher,5.0,Branca,,1.0,norte
371,11017507101.0,56,mulher,6.0,Parda,-1.0,0.0,norte
372,11017508101.0,60,homem,5.0,Parda,10080.0,1.0,norte
373,11017508102.0,51,mulher,5.0,Branca,1512.0,1.0,norte
374,11017509101.0,58,homem,8.0,Parda,13200.0,1.0,norte
375,11017509102.0,54,mulher,5.0,Branca,1335.60009765625,1.0,norte
376,11017509103.0,28,homem,5.0,Branca,,0.0,norte
377,11017510101.0,21,homem,5.0,Branca,6564.0,1.0,norte
378,11017510102.0,20,mulher,11.0,Branca,,1.0,norte
379,11017512101.0,40,homem,11.0,Branca,19620.0,1.0,norte
380,11017512102.0,31,mulher,15.0,Parda,19620.0,1.0,norte
381,11017513101.0,48,homem,5.0,Preta,26160.0,1.0,norte
382,11017513102.0,37,mulher,11.0,Parda,,1.0,norte
383,11018303101.0,52,mulher,5.0,Parda,11040.0,0.0,norte
384,11018304101.0,31,homem,13.0,Parda,13179.0,1.0,norte
385,11018304102.0,30,mulher,14.0,Parda,5544.0,1.0,norte
386,11018306101.0,53,homem,10.0,Branca,999999.0,1.0,norte
387,11018306102.0,45,mulher,11.0,Branca,,1.0,norte
388,11018306103.0,24,mulher,15.0,Branca,7920.0,0.0,norte
389,11018307102.0,28,mulher,14.0,Preta,,0.0,norte
390,11018308101.0,30,homem,9.0,Preta,13080.0,1.0,norte
391,11018308102.0,27,mulher,7.0,Branca,,1.0,norte
392,11018310101.0,36,homem,15.0,Branca,13628.9296875,0.0,norte
393,11018312103.0,25,homem,5.0,Parda,6540.0,0.0,norte
394,11018312104.0,23,mulher,11.0,Parda,,0.0,norte
395,11019101101.0,34,homem,10.0,Branca,19080.0,0.0,norte
