,origin_latitude,origin_longitude,destination_latitude,destination_longitude,regiao,date
12254,-8.1009215,-34.8864908,-8.1254568,-34.8994289,Recife,2019-05-19 16:54:54.590
30941,-22.983984,-43.210772,-22.98449,-43.240187,Rio - Zona Sul,2019-05-19 12:50:07.657
1640,-23.6190143,-46.6738218,-23.583333,-46.674618,Sao Paulo,2019-05-19 12:33:41.907
15867,-19.9635848,-43.9343295,-19.944107,-43.966002,Belo Horizonte,2019-05-19 12:43:03.026
26044,-15.745383,-47.887588,-15.768035,-47.880986,Brasilia,2019-05-19 20:43:12.679
25111,-23.625658,-46.580161,-23.6094899,-46.5686043,Abc,2019-05-19 18:26:49.891
20341,-30.054351,-51.214661,-30.052675,-51.18752,Porto Alegre,2019-05-19 19:52:12.248
44226,-23.445761,-46.523541,-23.435801,-46.518288,Guarulhos,2019-05-19 18:30:52.486
30491,-23.549388,-46.610611,-23.568428,-46.642798,Sao Paulo,2019-05-20 21:05:32.147
46506,-8.0527331,-34.9023502,-8.03763,-34.87175,Recife,2019-05-20 19:52:31.273
7512,-20.02406,-44.031662,-20.028692000000003,-44.040305,Restaurante Parceiro,2019-05-20 19:56:19.350
5778,-23.5658059,-46.6508012,-23.574313,-46.68763,Sao Paulo,2019-05-20 16:37:36.271
18326,-15.755474,-47.893887,-15.7652929,-47.8907359,Brasilia,2019-05-19 19:17:36.922
27059,-23.3024492,-51.1995792,-23.308287,-51.178307,Londrina,2019-05-20 11:36:23.123
13860,-23.608786,-46.689889,-23.6121775,-46.67743770000001,Sao Paulo,2019-05-20 23:35:34.582
3114,-23.463943,-46.871764,-23.469641,-46.900466,Barueri,2019-05-19 21:15:11.503
5061,-15.7590806,-47.8879629,-15.756984,-47.884484,Brasilia,2019-05-19 21:07:30.124
42271,-16.707579,-49.237066,-16.721264,-49.25293900000001,Goiania,2019-05-19 21:59:03.990
27862,-30.040480100000003,-51.1843508,-30.006008,-51.204508,Porto Alegre,2019-05-19 11:21:13.229
47362,-19.9275516,-43.9514829,-19.8947677,-43.9986533,Belo Horizonte,2019-05-20 19:53:18.586
15910,-23.559284,-46.684207,-23.563148,-46.665463,Sao Paulo,2019-05-20 12:32:01.450
47726,-23.571846,-46.695655,-23.572831,-46.703827,Sao Paulo,2019-05-19 12:36:44.800
42928,-23.7027868,-46.5601967,-23.694617,-46.590488,Abc,2019-05-19 14:52:21.088
45062,-12.985739,-38.46003320000001,-12.983575,-38.460759,Salvador,2019-05-19 13:55:15.404
8623,-23.6393149,-46.64172019999999,-23.607604,-46.623688,Sao Paulo,2019-05-19 15:01:25.671
48621,-15.841826,-48.023697,-15.838797,-47.986524,Brasilia,2019-05-20 17:39:30.781
413,-20.335151,-40.286982,-20.333289,-40.280044,Vila Velha,2019-05-19 22:39:22.298
23810,-21.158356,-47.80676500000001,-21.154671,-47.82601,Ribeirao Preto,2019-05-19 22:48:31.357
4227,-23.539274,-46.681387,-23.559353,-46.676318,Sao Paulo,2019-05-20 14:12:04.218
25164,-18.910389,-48.261806,-18.915946,-48.269743,Uberlandia,2019-05-19 15:29:27.057
45996,-22.9626379,-43.2077219,-22.984995,-43.229988,Rio - Zona Sul,2019-05-19 20:57:37.729
20839,-23.6004936,-46.6664276,-23.603529,-46.669204,Sao Paulo,2019-05-19 19:57:19.723
4194,-19.9322578,-43.95915520000001,-19.9298486,-43.9699608,Belo Horizonte,2019-05-19 12:04:39.907
45024,-22.907460600000004,-43.1057689,-22.890947,-43.118874,Niteroi,2019-05-20 16:43:30.935
12976,-23.562806,-46.668882,-23.5976114,-46.6827423,Sao Paulo,2019-05-20 22:16:51.493
26517,-20.4672749,-54.6303394,-20.466128,-54.6316,Campo Grande,2019-05-19 18:46:18.986
31954,-22.9554234,-43.189193,-22.959581,-43.201333,Rio - Zona Sul,2019-05-20 19:30:23.256
8353,-3.7407773,-38.53586729999999,-3.7314329,-38.550939,Fortaleza,2019-05-19 20:35:32.383
39594,-23.4673608,-46.5304889,-23.472633,-46.524501,Guarulhos,2019-05-20 12:55:55.006
5950,-30.0385795,-51.2029352,-30.053621000000003,-51.2071929,Porto Alegre,2019-05-20 13:19:16.418
7553,-22.9096387,-47.06097030000001,-22.920161,-47.065373,Campinas,2019-05-20 19:08:59.839
3213,-22.8237337,-47.0705685,-22.8175182,-47.0274239,Campinas,2019-05-20 19:02:22.974
24666,-23.6325095,-46.6956824,-23.6375532,-46.7356893,Sao Paulo,2019-05-19 21:00:25.211
22164,-23.204783,-45.908025,-23.2066723,-45.9044005,Sao Jose Dos Campos,2019-05-19 19:56:46.287
10087,-12.936709,-38.394897,-12.945927,-38.37496,Salvador,2019-05-20 20:52:32.506
24341,-23.3307282,-51.1502084,-23.337882,-51.135862,Londrina,2019-05-20 18:25:17.244
38434,-22.941246,-43.34460900000001,-22.93856,-43.354731,Rio - Jacarepagua,2019-05-19 20:35:48.622
43000,-3.728533,-38.549319,-3.709828,-38.575409,Fortaleza,2019-05-19 13:00:58.915
45012,-20.832420000000006,-49.365275,-20.819322,-49.375291,Sao Jose Do Rio Preto,2019-05-20 13:05:44.663
44347,-23.5486391,-46.5616869,-23.553006,-46.559199,Restaurante Parceiro,2019-05-19 12:28:57.496
14206,-22.930706,-43.177097,-22.951083,-43.181055,Rio - Zona Sul,2019-05-20 19:46:53.279
21060,-15.79501,-47.916538,-15.834127,-47.881992,Brasilia,2019-05-20 12:22:57.545
23755,-25.420629,-49.290302,-25.388881100000006,-49.2853418,Curitiba,2019-05-20 11:46:49.208
8746,-22.9084956,-43.1091339,-22.908511,-43.107345,Niteroi,2019-05-19 15:54:45.176
40731,-8.1009215,-34.8864908,-8.1202616,-34.8967046,Recife,2019-05-20 13:11:02.919
35129,-25.3935675,-49.2256787,-25.40863,-49.209258,Curitiba,2019-05-19 20:38:57.044
17722,-23.418769,-51.932844,-23.3965698,-51.89635300000001,Maringa,2019-05-19 14:20:54.805
18974,-30.054351,-51.214661,-30.043308000000003,-51.166839,Porto Alegre,2019-05-19 21:08:22.168
33650,-25.4271207,-49.2553413,-25.4669369,-49.294488,Curitiba,2019-05-19 13:52:28.811
27713,-16.707804,-49.273232,-16.69521,-49.268695,Goiania,2019-05-19 12:48:11.057
21001,-27.5849156,-48.5450085,-27.585511,-48.536147,Florianopolis,2019-05-20 20:33:46.133
49339,-25.438178,-49.2664735,-25.418912,-49.298204,Curitiba,2019-05-20 21:21:37.447
39234,-22.750137,-47.33389,-22.739131,-47.306827,Americana,2019-05-20 11:20:20.978
32379,-19.753019,-47.948047,-19.752609,-47.937383,Uberaba,2019-05-20 18:20:43.987
11671,-8.032147,-34.913472,-8.050415,-34.906853000000005,Recife,2019-05-20 20:04:14.937
31918,-22.9215118,-43.2220739,-22.9162148,-43.2338994,Rio - Centro,2019-05-20 15:32:54.992
